threshold,sigmas,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.30000000000000004,"range(1, 5)",0.026307763531804085,15.79916000366211,,0.04358027130365372,0.8645039200782776,0.00013511885481420904,0.6382978558540344,6.756657967343926e-05,0.9999939799308777,1.0,6.756398943252861e-05,0.00010639429092407227,0.500030517578125,0.013153885253943946
0.30000000000000004,"range(1, 5)",0.03539412096142769,14.510688781738281,0.8579344153404236,0.048390865325927734,0.8878567218780518,0.00019453525601420552,0.6992664933204651,9.728116128826514e-05,0.999994695186615,1.0,9.727709402795881e-05,0.0001633167266845703,0.5000459551811218,0.01769707333558472
0.30000000000000004,"range(1, 5)",0.033030394464731216,14.81086254119873,,0.051632095128297806,0.8500820994377136,2.3409080313285813e-05,0.7796609997749329,1.1704715689120349e-05,0.999999463558197,1.0,1.1704676580848172e-05,1.895427703857422e-05,0.5000054836273193,0.01651520157031212
0.4,"range(1, 5)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.01315436335981088
0.4,"range(1, 5)",0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193588294088
0.4,"range(1, 5)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347841179966
0.5,"range(1, 5)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363393243905
0.5,"range(1, 5)",0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193500982597
0.5,"range(1, 5)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347736551694
0.6,"range(1, 5)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363323431091
0.6,"range(1, 5)",0.03539636358618736,14.51041316986084,0.857957661151886,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193576943595
0.6,"range(1, 5)",0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347781480734
0.7000000000000001,"range(1, 5)",0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.01315436336628648
