threshold,nscale,norient,minWaveLength,mult,sigmaOnf,k,cutOff,g,noiseMethod,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.05,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.23832429945468903,6.228316307067871,0.11702756583690643,0.2513209283351898,0.7208033800125122,0.1988086998462677,0.14657683670520782,0.3088744878768921,0.7728363871574402,1.0,0.11037623137235641,0.05507254600524902,0.5408554673194885,0.11916212350130082
0.05,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.1632504016160965,7.871457099914551,,0.1818520873785019,0.7541171908378601,0.19912970066070557,0.19457848370075226,0.20389893651008606,0.8511530160903931,1.0,0.1105741560459137,0.05398684740066528,0.5278131365776062,0.08162520219106227
0.27499999999999997,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.039493486285209656,14.034745216369629,,0.05676598846912384,0.85317063331604,0.02581794001162052,0.1278298944234848,0.014359024353325367,0.9846442937850952,1.0,0.013077790848910809,-0.0015927553176879883,0.5000378489494324,0.01974674956729814
0.27499999999999997,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.04980545863509178,13.027230262756348,0.6496676802635193,0.06280217319726944,0.876554548740387,0.05752014368772507,0.20005348324775696,0.033588871359825134,0.9830344319343567,1.0,0.029611706733703613,0.026116669178009033,0.5083116292953491,0.024902728862361983
0.27499999999999997,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.040691833943128586,13.904927253723145,,0.05929351970553398,0.8448061943054199,0.03744678199291229,0.2668600082397461,0.020136181265115738,0.9902439117431641,1.0,0.019080644473433495,0.016762256622314453,0.5059678554534912,0.020345913295195715
0.49999999999999994,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.027027864009141922,15.681882858276367,,0.044300369918346405,0.8638383746147156,0.0008319411426782608,0.07314431667327881,0.000418349722167477,0.999169111251831,1.0,0.00041614368092268705,-0.0007102489471435547,0.49998244643211365,0.01351393529619839
0.49999999999999994,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03577098995447159,14.464690208435059,0.849368691444397,0.04876773804426193,0.8875616192817688,0.0020504069980233908,0.22218960523605347,0.0010299558052793145,0.9995445609092712,1.0,0.0010262556606903672,0.0010164976119995117,0.5002872943878174,0.017885504161531573
0.49999999999999994,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.033719681203365326,14.721165657043457,,0.05232137069106102,0.8494969010353088,0.0017377592157572508,0.15485209226608276,0.0008737824391573668,0.9991589784622192,1.0,0.000869635259732604,5.549192428588867e-05,0.5002081394195557,0.016859840948693666
0.725,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.02633800357580185,15.794170379638672,,0.043610505759716034,0.8644719123840332,1.2384486581140663e-05,0.028205128386616707,6.193602985149482e-06,0.999966561794281,1.0,6.192281489347806e-06,-4.7206878662109375e-05,0.49999552965164185,0.013169004579233508
0.725,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03540007025003433,14.509958267211914,0.8578559756278992,0.04839680716395378,0.8878481388092041,2.0407787815202028e-05,0.24590164422988892,1.020431773213204e-05,0.9999960660934448,1.0,1.0203998499491718e-05,1.1146068572998047e-05,0.5000031590461731,0.017700044364319184
0.725,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03305855393409729,14.807160377502441,,0.05166025087237358,0.8500550985336304,2.1369689420680515e-05,0.05519053712487221,1.0686913810786791e-05,0.9999676942825317,1.0,1.0684959306672681e-05,-3.6716461181640625e-05,0.4999985992908478,0.01652928093901449
0.95,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.026308758184313774,15.798995971679688,,0.04358126223087311,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.01315438244326527
0.95,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03539636731147766,14.510412216186523,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193520191127
0.95,3,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03303072601556778,14.81081771850586,,0.05163242295384407,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.016515366881960866
0.05,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.39447733759880066,4.039779186248779,,0.41174986958503723,0.5679635405540466,0.20723852515220642,0.1379079520702362,0.41675320267677307,0.5916639566421509,1.0,0.11559737473726273,0.004543602466583252,0.5014647841453552,0.19723863109014927
0.05,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.4143846035003662,3.8259637355804443,0.0534023679792881,0.42738139629364014,0.5726313591003418,0.21789813041687012,0.13708390295505524,0.5308421850204468,0.5779100060462952,1.0,0.12227030098438263,0.04823189973831177,0.5543761253356934,0.2071923287026584
0.05,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.3261030912399292,4.866450309753418,,0.34470486640930176,0.6320515275001526,0.2522347569465637,0.18137876689434052,0.4139420986175537,0.6705170273780823,1.0,0.14431844651699066,0.05527305603027344,0.54269939661026,0.1630516153201461
0.27499999999999997,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.08941037952899933,10.486120223999023,,0.10668282210826874,0.8117890954017639,0.09440954774618149,0.1356334686279297,0.07240349799394608,0.9276788830757141,1.0,0.049543462693691254,0.00010251998901367188,0.5003418922424316,0.04470519279857399
0.27499999999999997,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.10512850433588028,9.782794952392578,0.41788962483406067,0.11812520027160645,0.8322582840919495,0.1577085554599762,0.18050360679626465,0.14002534747123718,0.919698178768158,1.0,0.08560456335544586,0.06620955467224121,0.5298618078231812,0.052564262538217006
0.27499999999999997,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.06628625839948654,11.785764694213867,,0.08488797396421432,0.8277295827865601,0.12181026488542557,0.25834476947784424,0.07969282567501068,0.959652304649353,1.0,0.06485514342784882,0.0550115704536438,0.5213024020195007,0.03314314935152652
0.49999999999999994,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.031246565282344818,15.051976203918457,,0.04851901903748512,0.8601425290107727,0.009213125333189964,0.11492641270160675,0.004798916168510914,0.9942073225975037,1.0,0.004627881105989218,-0.0016674995422363281,0.5002068281173706,0.015623277888610239
0.49999999999999994,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.039313945919275284,14.054533004760742,0.7926902174949646,0.052310604602098465,0.8850517868995667,0.026901116594672203,0.26585519313812256,0.014167334884405136,0.9950582981109619,1.0,0.013633943162858486,0.015731632709503174,0.5046127438545227,0.019656966192414985
0.49999999999999994,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03629572317004204,14.401444435119629,,0.054897408932447433,0.8477684259414673,0.018237104639410973,0.27506494522094727,0.009431201964616776,0.9956164956092834,1.0,0.009202465415000916,0.008380651473999023,0.5032986998558044,0.018147859618859577
0.725,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.02653655782341957,15.761553764343262,,0.04380906745791435,0.8642836213111877,0.0001377095322823152,0.03975981846451759,6.897421553730965e-05,0.9997389316558838,1.0,6.885951006552204e-05,-0.0003317594528198242,0.4999854564666748,0.013268283423115129
0.725,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03543709218502045,14.505417823791504,0.8570694923400879,0.048433829098939896,0.8878217935562134,0.000259056338109076,0.25181758403778076,0.00012959483137819916,0.9999513626098633,1.0,0.00012954494741279632,0.0001437664031982422,0.5000404715538025,0.017718555297760757
0.725,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03324124589562416,14.783226013183594,,0.05184295028448105,0.8498892188072205,0.00023069276358000934,0.07654695957899094,0.0001155204517999664,0.9997542500495911,1.0,0.0001153596822405234,-0.00022125244140625,0.5000184774398804,0.01662062744415619
0.95,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363382766526
0.95,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.03539636358618736,14.51041316986084,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193529213313
0.95,4,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347762890664
0.05,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.305807501077652,5.1455183029174805,,0.32308024168014526,0.6371910572052002,0.1888747662305832,0.13547857105731964,0.31174150109291077,0.688201367855072,1.0,0.10428586602210999,-3.695487976074219e-05,0.49721813201904297,0.15290385310538113
0.05,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.3314327001571655,4.796046257019043,0.07570165395736694,0.34442979097366333,0.6417648196220398,0.21024726331233978,0.1396510899066925,0.42518705129623413,0.669122040271759,1.0,0.11747279763221741,0.04981505870819092,0.5471546053886414,0.16571649027988314
0.05,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.23691560328006744,6.254063129425049,,0.2555171847343445,0.699032723903656,0.2313128560781479,0.1874198317527771,0.30205240845680237,0.7690437436103821,1.0,0.13078223168849945,0.05679136514663696,0.5360909104347229,0.11845776792615652
0.27499999999999997,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.05989379808306694,12.226180076599121,,0.07716631889343262,0.8361067175865173,0.0599551647901535,0.1345428228378296,0.0385717898607254,0.9611108303070068,1.0,0.03090400993824005,-0.000453948974609375,0.5001336932182312,0.029946902494702953
0.27499999999999997,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.07189783453941345,11.432842254638672,0.5194865465164185,0.0848945677280426,0.858879566192627,0.1124538704752922,0.1908193975687027,0.07971613109111786,0.9573001861572266,1.0,0.05957675352692604,0.049642860889434814,0.5185081362724304,0.03594891928019933
0.27499999999999997,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.04850435629487038,13.142191886901855,,0.06710602343082428,0.8399187326431274,0.07490713894367218,0.28027185797691345,0.043230604380369186,0.9804216027259827,1.0,0.03891092166304588,0.0362931489944458,0.5129233598709106,0.024252182745549362
0.49999999999999994,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.02805056795477867,15.520583152770996,,0.04532306268811226,0.8629411458969116,0.0030411710031330585,0.10574455559253693,0.001542770187370479,0.9979550242424011,1.0,0.0015229012351483107,-0.0008591413497924805,0.5000426173210144,0.014025292156386633
0.49999999999999994,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.036650434136390686,14.359208106994629,0.8279917240142822,0.04964713752269745,0.8869650363922119,0.00957950484007597,0.2762569487094879,0.004874262493103743,0.9983869791030884,1.0,0.004812804516404867,0.005712747573852539,0.5016306042671204,0.018325226819433736
0.49999999999999994,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.034270595759153366,14.650782585144043,,0.05287228897213936,0.8491727709770203,0.006621774286031723,0.2627088129520416,0.00335314660333097,0.998340368270874,1.0,0.003321885596960783,0.0028537511825561523,0.5011618137359619,0.01713529995495504
0.725,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.026353629305958748,15.791594505310059,,0.043626122176647186,0.8644577860832214,3.039457260456402e-05,0.044481053948402405,1.5202480426523834e-05,0.9999487996101379,1.0,1.519751731393626e-05,-6.222724914550781e-05,0.49999573826789856,0.013176816804864423
0.725,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03540406376123428,14.509468078613281,0.857730507850647,0.048400796949863434,0.8878454566001892,5.645818600896746e-05,0.2794612646102905,2.823194517986849e-05,0.9999908208847046,1.0,2.8229889721842483e-05,3.3915042877197266e-05,0.5000095367431641,0.017702040395815858
0.725,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03307104483246803,14.805520057678223,,0.051672741770744324,0.8500447273254395,4.934901153319515e-05,0.08486439287662506,2.468168349878397e-05,0.999953031539917,1.0,2.4675115128047764e-05,-3.7789344787597656e-05,0.5000029802322388,0.016535524184712477
0.95,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363384767413
0.95,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.03539636731147766,14.510412216186523,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.017698193532705773
0.95,4,4,3,1.8,0.55,2.0,0.35,10.0,-1,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01651534783361297
0.05,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.1920672059059143,7.165467739105225,,0.20933963358402252,0.7278680205345154,0.15494711697101593,0.13375245034694672,0.1841237097978592,0.8130934834480286,1.0,0.0839797705411911,-0.0024013519287109375,0.49652573466300964,0.09603357468033209
0.05,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.21677221357822418,6.6399641036987305,0.14227895438671112,0.22976893186569214,0.7379968166351318,0.19496558606624603,0.14873605966567993,0.28289327025413513,0.7954835891723633,1.0,0.1080121099948883,0.056223511695861816,0.5391884446144104,0.10838609248399735
0.05,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.1353340595960617,8.685928344726562,,0.1539357602596283,0.7759926319122314,0.19008201360702515,0.2075337916612625,0.17533765733242035,0.8819233775138855,1.0,0.10502244532108307,0.06116896867752075,0.5293585658073425,0.06766700586536899
0.27499999999999997,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03741792216897011,14.26920223236084,,0.054690442979335785,0.8549744486808777,0.023914838209748268,0.13583995401859283,0.013111576437950134,0.9869263172149658,1.0,0.012102129869163036,6.127357482910156e-05,0.5002502799034119,0.018708965060307038
0.27499999999999997,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.04683595523238182,13.294205665588379,0.6766830682754517,0.059832677245140076,0.8790014386177063,0.05427359417080879,0.21984246373176575,0.030958199873566628,0.986122727394104,1.0,0.02789374440908432,0.02734375,0.5085404515266418,0.0234179696807405
0.27499999999999997,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.037640251219272614,14.243474006652832,,0.05624191835522652,0.8472660183906555,0.032849255949258804,0.3241252601146698,0.017301350831985474,0.9936375021934509,1.0,0.01669890061020851,0.01792776584625244,0.5059826970100403,0.01882012165641072
0.49999999999999994,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.02665175497531891,15.742741584777832,,0.0439242348074913,0.8641848564147949,0.0004811866965610534,0.08591479063034058,0.00024126899370457977,0.9995976686477661,1.0,0.00024065125035122037,-0.0002778768539428711,0.4999874532222748,0.013325878513226263
0.49999999999999994,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.035629112273454666,14.481948852539062,0.8508751392364502,0.04862583801150322,0.8876903057098389,0.001999301603063941,0.2920380234718323,0.001003084471449256,0.9996928572654724,1.0,0.0010006511583924294,0.001232445240020752,0.5003479719161987,0.017814564089349005
0.49999999999999994,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03330644220113754,14.774717330932617,,0.051908135414123535,0.8498699069023132,0.0013773160753771663,0.2476729303598404,0.0006905781920067966,0.9996300339698792,1.0,0.0006891326047480106,0.0005440115928649902,0.5002308487892151,0.016653220976316
0.725,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.026312997564673424,15.798295974731445,,0.04358550161123276,0.8644958734512329,2.252145804959582e-06,0.03448275849223137,1.1261096233283752e-06,0.9999950528144836,1.0,1.126074153035006e-06,-6.556510925292969e-06,0.4999992251396179,0.013156501408505057
0.725,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03539709746837616,14.510322570800781,0.8579341769218445,0.04839383065700531,0.8878498673439026,4.761966465594014e-06,0.23333333432674408,2.3810075617802795e-06,0.9999989867210388,1.0,2.380988917138893e-06,2.4437904357910156e-06,0.5000006556510925,0.017698559776181354
0.725,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.0330345444381237,14.81031608581543,,0.051636241376399994,0.850077211856842,4.071088369528297e-06,0.07079645991325378,2.0356026197987376e-06,0.9999953508377075,1.0,2.0355482774903066e-06,-4.5299530029296875e-06,0.49999985098838806,0.01651727603474013
0.95,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.02630872093141079,15.799001693725586,,0.04358122497797012,0.8644999861717224,0.0,0.0,0.0,1.0,1.0,0.0,-1.1920928955078125e-07,0.5,0.013154363362684883
0.95,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.03539636358618736,14.51041316986084,0.8579577803611755,0.04839310795068741,0.8878505229949951,0.0,0.0,0.0,1.0,1.0,0.0,5.960464477539063e-08,0.5,0.01769819355395157
0.95,4,4,3,1.8,0.65,2.0,0.35,10.0,-1,0.033030685037374496,14.810823440551758,,0.051632385700941086,0.8500808477401733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.016515347779043288
0.05,5,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.4026147723197937,3.9511027336120605,,0.4198870062828064,0.5617859363555908,0.21052975952625275,0.13925985991954803,0.4312158226966858,0.582251250743866,1.0,0.11764921247959137,0.007148325443267822,0.5037526488304138,0.20130737708881496
0.05,5,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.418884813785553,3.7790534496307373,0.05066296085715294,0.431881308555603,0.5681240558624268,0.21805720031261444,0.13680815696716309,0.536941647529602,0.5720628499984741,1.0,0.12237048149108887,0.04785799980163574,0.5545022487640381,0.20944239169359208
0.05,5,4,3,1.8,0.45,2.0,0.35,10.0,-1,0.318795382976532,4.964879989624023,,0.33739691972732544,0.6387041807174683,0.25616130232810974,0.18526291847229004,0.4149642288684845,0.678162693977356,1.0,0.14689506590366364,0.0616489052772522,0.5474984645843506,0.15939766289666296
