threshold,frequency,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.1,0.9,0.8996515274047852,0.45925676822662354,,0.9165481925010681,0.1701650470495224,0.2483469694852829,0.1424117386341095,0.9695970416069031,0.03852246701717377,1.0,0.1417786180973053,0.0023700594902038574,0.48752227425575256,0.4498257710912962
0.1,0.9,0.9039645195007324,0.43848612904548645,,0.9243879318237305,0.18248794972896576,0.2826334834098816,0.16517077386379242,0.9785085320472717,0.02566760778427124,1.0,0.16457374393939972,0.0014027953147888184,0.4926234781742096,0.4519822897870612
0.1,0.45,0.027293967083096504,15.639331817626953,,0.0489426888525486,0.8336624503135681,0.00017629849025979638,0.06105063855648041,8.827670535538346e-05,0.9997295141220093,1.0,8.815701585263014e-05,-0.00030350685119628906,0.4999864995479584,0.013646977601426368
0.1,0.45,0.03769629821181297,14.23701286315918,,0.05459187179803848,0.858505129814148,0.00013888704415876418,0.07754410803318024,6.950576789677143e-05,0.9998638033866882,1.0,6.94483460392803e-05,-0.00011432170867919922,0.4999978840351105,0.018848145439709252
0.1,0.45,0.037225715816020966,14.291568756103516,,0.05764893814921379,0.8353143334388733,5.874900671187788e-05,0.04263134300708771,2.9394757802947424e-05,0.9998699426651001,1.0,2.9375367375905626e-05,-0.00016820430755615234,0.49999943375587463,0.01861286471081882
0.3,0.25,0.027073320001363754,15.674583435058594,,0.0487220399081707,0.8338733911514282,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01353665267132787
0.3,0.25,0.03758341819047928,14.250036239624023,,0.05447900667786598,0.8586122393608093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018791711626712736
0.3,0.25,0.03711794316768646,14.304160118103027,,0.057541146874427795,0.8354181051254272,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018558973560222226
0.7,0.9,0.07977775484323502,10.981181144714355,,0.10142657905817032,0.7866306304931641,0.03692684322595596,0.07380536943674088,0.024623269215226173,0.9384399652481079,1.0,0.018810734152793884,-0.05037808418273926,0.4766550660133362,0.03988889423059625
0.7,0.9,0.17750613391399384,7.507865905761719,,0.1944017857313156,0.7358139753341675,0.092325359582901,0.08977080881595612,0.0950295701622963,0.841331958770752,1.0,0.04839680716395378,-0.0621185302734375,0.46262407302856445,0.08875300192169303
0.7,0.9,0.1541968584060669,8.119244575500488,,0.17461982369422913,0.7331143617630005,0.0819845199584961,0.09447786957025528,0.07240942120552063,0.8632767796516418,1.0,0.042744457721710205,-0.07096946239471436,0.46270686388015747,0.07709841516717995
0.9,0.25,0.027073316276073456,15.67458438873291,,0.048722043633461,0.8338733911514282,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.013536652700154637
0.9,0.25,0.03758342191576958,14.250036239624023,,0.05447900667786598,0.8586122393608093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.018791711604619846
0.9,0.25,0.03711794316768646,14.304160118103027,,0.057541146874427795,0.8354181051254272,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.01855897356325789
