threshold,sigma,low_threshold,high_threshold,mse,psnr,ssim,ae,acc,f1,prec,rec,spec,dice,iou,ck,roc_auc,loss
0.05,0.5,0.29,0.4,0.6652781367301941,1.7699673175811768,,0.6857009530067444,0.3748340308666229,0.2920043468475342,0.17944931983947754,0.7833250761032104,0.29435908794403076,1.0,0.17096316814422607,0.033041536808013916,0.5355677008628845,0.33263903047730653
0.05,0.5,0.15,0.3,0.8179792761802673,0.8725770115852356,,0.839627206325531,0.2627723813056946,0.29357102513313293,0.1745755821466446,0.92209792137146,0.13141968846321106,1.0,0.1720382273197174,0.01971578598022461,0.5051808953285217,0.4089894389998883
0.05,0.5,0.15,0.3,0.8163919448852539,0.8810128569602966,,0.8332871198654175,0.2416408360004425,0.2525327205657959,0.14671169221401215,0.9060633182525635,0.13223029673099518,1.0,0.1445135623216629,0.0121116042137146,0.5054609179496765,0.4081959532371827
0.05,0.5,0.15,0.3,0.8220943212509155,0.8507834672927856,,0.8425176739692688,0.25206419825553894,0.2888914942741394,0.17124126851558685,0.9231051802635193,0.1198655217885971,1.0,0.1688329428434372,0.015553116798400879,0.5152448415756226,0.41104723832459
0.05,2,0.1,0.5,0.09168357402086258,10.377083778381348,,0.11333230882883072,0.7787107229232788,0.0754845067858696,0.12336236983537674,0.05437943711876869,0.9230141043663025,1.0,0.039222601801157,-0.029128074645996094,0.49144619703292847,0.0458417697301934
0.05,2,0.1,0.5,0.09686345607042313,10.138399124145508,,0.11375899612903595,0.8203964233398438,0.20127622783184052,0.27109551429748535,0.16005489230155945,0.9291349053382874,1.0,0.1118994653224945,0.10759711265563965,0.5462575554847717,0.048431718197080885
0.05,2,0.1,0.5,0.05496671795845032,12.59900188446045,,0.07538986951112747,0.8325195908546448,0.16896936297416687,0.46077901124954224,0.10345297306776047,0.9761496782302856,1.0,0.09228100627660751,0.11559295654296875,0.5428608059883118,0.027483363586826536
0.49999999999999994,1.0,0.29,0.4,0.32276681065559387,4.911110877990723,,0.34441593289375305,0.6161444783210754,0.23416978120803833,0.17512977123260498,0.3532620072364807,0.6685166358947754,1.0,0.1326117366552353,0.015476047992706299,0.5089114308357239,0.16138348069939368
0.49999999999999994,1.0,0.29,0.4,0.3609655797481537,4.425341606140137,,0.37786146998405457,0.6148157119750977,0.2693325877189636,0.18402129411697388,0.5021065473556519,0.6333754658699036,1.0,0.15562354028224945,0.07867974042892456,0.5639956593513489,0.1804829105194766
0.49999999999999994,1.0,0.29,0.4,0.302885502576828,5.1872148513793945,,0.32330888509750366,0.6553558707237244,0.29752254486083984,0.22385674715042114,0.44345176219940186,0.6971021294593811,1.0,0.17475858330726624,0.10083842277526855,0.5721237063407898,0.15144268037105252
0.95,2,0.29,0.4,0.08869289606809616,10.521111488342285,,0.11034172028303146,0.7817049622535706,0.07557886838912964,0.1274525225162506,0.053716182708740234,0.9267369508743286,1.0,0.03927356004714966,-0.025439739227294922,0.49353891611099243,0.04434643896814951
